table_name,description,DDL
DIM_COUNTRY,Master list of countries,"DROP TABLE IF EXISTS DIM_COUNTRY CASCADE;
CREATE TABLE DIM_COUNTRY (
	COUNTRY_ID BIGINT PRIMARY KEY,
	COUNTRY_NAME VARCHAR(20)
);"
DIM_STATE,Master list of states with country relationships,"DROP TABLE IF EXISTS DIM_STATE CASCADE;
CREATE TABLE DIM_STATE (
	STATE_ID BIGINT PRIMARY KEY,
	COUNTRY_ID BIGINT,
	STATE_NAME VARCHAR(100),
	FOREIGN KEY (COUNTRY_ID) REFERENCES DIM_COUNTRY (COUNTRY_ID)
);"
DIM_DISTRICT,Master list of districts with state relationships,"DROP TABLE IF EXISTS DIM_DISTRICT CASCADE;
CREATE TABLE DIM_DISTRICT (
	DISTRICT_ID BIGINT PRIMARY KEY,
	STATE_ID BIGINT,
	DISTRICT_NAME VARCHAR(50),
	FOREIGN KEY (STATE_ID) REFERENCES DIM_STATE (STATE_ID)
);"
DIM_SCHOOL,Master list of schools with geographic hierarchy,"DROP TABLE IF EXISTS DIM_SCHOOL CASCADE;
CREATE TABLE DIM_SCHOOL (
	SCHOOL_ID BIGINT PRIMARY KEY,
	DISTRICT_ID BIGINT,
	UNIQUE_SCHOOL_ID BIGINT,
	FOREIGN KEY (DISTRICT_ID) REFERENCES DIM_DISTRICT (DISTRICT_ID)
);"
DIM_YEAR,Academic year dimension,"DROP TABLE IF EXISTS DIM_YEAR CASCADE;
CREATE TABLE DIM_YEAR (
	YEAR_ID INTEGER PRIMARY KEY,
	ACADEMIC_YEAR INTEGER
);"
FACT_SCHOOL_GOVERNANCE,School management committee data,"DROP TABLE IF EXISTS FACT_SCHOOL_GOVERNANCE CASCADE;
CREATE TABLE FACT_SCHOOL_GOVERNANCE (
	GOVERNANCE_ID BIGINT PRIMARY KEY,
	SCHOOL_ID BIGINT,
	YEAR_ID INTEGER,
	CONSTITUTION_OF_SMC VARCHAR(50),
	SMC_AND_SDMC_SAME VARCHAR(50),
	SDMC_CONSTITUTED VARCHAR(50),
	FOREIGN KEY (SCHOOL_ID) REFERENCES DIM_SCHOOL (SCHOOL_ID),
	FOREIGN KEY (YEAR_ID) REFERENCES DIM_YEAR (YEAR_ID)
);"
FACT_SCHOOL_RESOURCES,Textbook and material resources received,"DROP TABLE IF EXISTS FACT_SCHOOL_RESOURCES CASCADE;
CREATE TABLE FACT_SCHOOL_RESOURCES (
	RESOURCE_ID BIGINT PRIMARY KEY,
	SCHOOL_ID BIGINT,
	YEAR_ID INTEGER,
	SCHOOLS_RECEIVED_FULL_SET_OF_TEXTBOOKS_IN_CURRENT_ACADEMIC_YEAR INTEGER,
	SCHOOLS_RECEIVED_GRADED_SUPPLEMENTARY_MATERIAL_IN_PREVIOUS_ACADEMIC_YEAR INTEGER,
	FOREIGN KEY (SCHOOL_ID) REFERENCES DIM_SCHOOL (SCHOOL_ID),
	FOREIGN KEY (YEAR_ID) REFERENCES DIM_YEAR (YEAR_ID)
);"
FACT_STUDENT_ENROLLMENT,Normalized enrollment data across all categories and grades,"DROP TABLE IF EXISTS FACT_STUDENT_ENROLLMENT CASCADE;
CREATE TABLE FACT_STUDENT_ENROLLMENT (
	ENROLLMENT_ID BIGINT PRIMARY KEY,
	SCHOOL_ID BIGINT,
	YEAR_ID INTEGER,
	STUDENT_COUNT DOUBLE PRECISION,
	FOREIGN KEY (SCHOOL_ID) REFERENCES DIM_SCHOOL (SCHOOL_ID),
	FOREIGN KEY (YEAR_ID) REFERENCES DIM_YEAR (YEAR_ID)
);"
FACT_SPECIAL_TRAINING,Special training program data,"DROP TABLE IF EXISTS FACT_SPECIAL_TRAINING CASCADE;
CREATE TABLE FACT_SPECIAL_TRAINING (
	TRAINING_ID BIGINT PRIMARY KEY,
	SCHOOL_ID BIGINT,
	YEAR_ID INTEGER,
	STUDENTS_ATTENDING_SPECIAL_TRAINING VARCHAR(50),
	FOREIGN KEY (SCHOOL_ID) REFERENCES DIM_SCHOOL (SCHOOL_ID),
	FOREIGN KEY (YEAR_ID) REFERENCES DIM_YEAR (YEAR_ID)
);"
FACT_SCHOOL_MONITORING,School inspection and official visit data,"DROP TABLE IF EXISTS FACT_SCHOOL_MONITORING CASCADE;
CREATE TABLE FACT_SCHOOL_MONITORING (
	MONITORING_ID BIGINT PRIMARY KEY,
	SCHOOL_ID BIGINT,
	YEAR_ID INTEGER,
	ACADEMIC_INSPECTIONS_IN_THE_PREVIOUS_ACADEMIC_YEAR INTEGER,
	VISITS_MADE_BY_CRC_COORDINATOR BIGINT,
	VISITS_MADE_BY_BLOCK_LEVEL_OFFICERS BIGINT,
	VISITS_MADE_BY_DISTRICT_OR_STATE_LEVEL_OFFICERS BIGINT,
	FOREIGN KEY (SCHOOL_ID) REFERENCES DIM_SCHOOL (SCHOOL_ID),
	FOREIGN KEY (YEAR_ID) REFERENCES DIM_YEAR (YEAR_ID)
);"
FACT_STUDENT_SUPPORT_PRIMARY,Primary grade student support programs,"DROP TABLE IF EXISTS FACT_STUDENT_SUPPORT_PRIMARY CASCADE;
CREATE TABLE FACT_STUDENT_SUPPORT_PRIMARY (
	SUPPORT_PRIMARY_ID BIGINT PRIMARY KEY,
	SCHOOL_ID BIGINT,
	YEAR_ID INTEGER,
	PRIMARY_GRADE_CHILDREN_WHO_RECEIVED_FREE_TEXTBOOKS BIGINT,
	PRIMARY_GRADE_CHILDREN_WHO_RECEIVED_FREE_TRANSPORT_FACILITY BIGINT,
	PRIMARY_GRADE_CHILDREN_WHO_RECEIVED_FREE_UNIFORMS BIGINT,
	FOREIGN KEY (SCHOOL_ID) REFERENCES DIM_SCHOOL (SCHOOL_ID),
	FOREIGN KEY (YEAR_ID) REFERENCES DIM_YEAR (YEAR_ID)
);"
FACT_STUDENT_SUPPORT_UPPER_PRIMARY,Upper primary grade student support programs,"DROP TABLE IF EXISTS FACT_STUDENT_SUPPORT_UPPER_PRIMARY CASCADE;
CREATE TABLE FACT_STUDENT_SUPPORT_UPPER_PRIMARY (
	SUPPORT_UPPER_PRIMARY_ID BIGINT PRIMARY KEY,
	SCHOOL_ID BIGINT,
	YEAR_ID INTEGER,
	UPPER_PRIMARY_GRADE_CHILDREN_WHO_RECEIVED_FREE_TEXTBOOKS BIGINT,
	UPPER_PRIMARY_GRADE_CHILDREN_WHO_RECEIVED_FREE_TRANSPORT_FACILITY BIGINT,
	UPPER_PRIMARY_GRADE_CHILDREN_WHO_RECEIVED_FREE_UNIFORMS BIGINT,
	FOREIGN KEY (SCHOOL_ID) REFERENCES DIM_SCHOOL (SCHOOL_ID),
	FOREIGN KEY (YEAR_ID) REFERENCES DIM_YEAR (YEAR_ID)
);"
FACT_SCHOOL_FINANCES,School grant funding data,"DROP TABLE IF EXISTS FACT_SCHOOL_FINANCES CASCADE;
CREATE TABLE FACT_SCHOOL_FINANCES (
	FINANCE_ID BIGINT PRIMARY KEY,
	SCHOOL_ID BIGINT,
	YEAR_ID INTEGER,
	SCHOOL_GRANT_RECEIVED DOUBLE PRECISION,
	UTILIZATION_OF_SCHOOL_GRANT DOUBLE PRECISION,
	FOREIGN KEY (SCHOOL_ID) REFERENCES DIM_SCHOOL (SCHOOL_ID),
	FOREIGN KEY (YEAR_ID) REFERENCES DIM_YEAR (YEAR_ID)
);"
