table_name,description,DDL
DIM_GEOGRAPHY_HIERARCHY,,"DROP TABLE IF EXISTS DIM_GEOGRAPHY_HIERARCHY CASCADE;
CREATE TABLE DIM_GEOGRAPHY_HIERARCHY (
	HIERARCHY_ID BIGINT PRIMARY KEY,
	PARENT_ID BIGINT,
	LOCATION_NAME VARCHAR(100),
	LOCATION_TYPE VARCHAR(20),
	COUNTRY VARCHAR(20),
	STATE VARCHAR(100),
	DISTRICT VARCHAR(50),
	SUB_DISTRICT VARCHAR(100),
	FOREIGN KEY (PARENT_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (HIERARCHY_ID)
);"
FACT_HOUSING,,"DROP TABLE IF EXISTS FACT_HOUSING CASCADE;
CREATE TABLE FACT_HOUSING (
	HOUSING_ID BIGINT PRIMARY KEY,
	HIERARCHY_ID BIGINT,
	CENSUS_YEAR INTEGER,
	NUMBER_OF_OCCUPIED_RESIDENTIAL_HOUSES DOUBLE PRECISION,
	NUMBER_OF_HOUSEHOLDS DOUBLE PRECISION,
	FOREIGN KEY (HIERARCHY_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (HIERARCHY_ID)
);"
FACT_POPULATION_CORE,,"DROP TABLE IF EXISTS FACT_POPULATION_CORE CASCADE;
CREATE TABLE FACT_POPULATION_CORE (
	POPULATION_CORE_ID BIGINT PRIMARY KEY,
	HIERARCHY_ID BIGINT,
	CENSUS_YEAR INTEGER,
	TOTAL_POPULATION DOUBLE PRECISION,
	TOTAL_MALE_POPULATION DOUBLE PRECISION,
	TOTAL_FEMALE_POPULATION DOUBLE PRECISION,
	FOREIGN KEY (HIERARCHY_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (HIERARCHY_ID)
);"
FACT_POPULATION_AGE_COHORT,,"DROP TABLE IF EXISTS FACT_POPULATION_AGE_COHORT CASCADE;
CREATE TABLE FACT_POPULATION_AGE_COHORT (
	POPULATION_AGE_ID BIGINT PRIMARY KEY,
	HIERARCHY_ID BIGINT,
	CENSUS_YEAR INTEGER,
	MALE_POPULATION_0_TO_6_YEARS INTEGER,
	FEMALE_POPULATION_0_TO_6_YEARS INTEGER,
	FOREIGN KEY (HIERARCHY_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (HIERARCHY_ID)
);"
FACT_POPULATION_SOCIAL_CATEGORY,,"DROP TABLE IF EXISTS FACT_POPULATION_SOCIAL_CATEGORY CASCADE;
CREATE TABLE FACT_POPULATION_SOCIAL_CATEGORY (
	POPULATION_SOCIAL_ID BIGINT PRIMARY KEY,
	HIERARCHY_ID BIGINT,
	CENSUS_YEAR INTEGER,
	MALE_SCHEDULED_CASTE_POPULATION DOUBLE PRECISION,
	FEMALE_SCHEDULED_CASTE_POPULATION DOUBLE PRECISION,
	MALE_SCHEDULED_TRIBE_POPULATION DOUBLE PRECISION,
	FEMALE_SCHEDULED_TRIBE_POPULATION DOUBLE PRECISION,
	FOREIGN KEY (HIERARCHY_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (HIERARCHY_ID)
);"
FACT_POPULATION_LITERACY,,"DROP TABLE IF EXISTS FACT_POPULATION_LITERACY CASCADE;
CREATE TABLE FACT_POPULATION_LITERACY (
	POPULATION_LITERACY_ID BIGINT PRIMARY KEY,
	HIERARCHY_ID BIGINT,
	CENSUS_YEAR INTEGER,
	MALE_ILLITERATE_POPULATION DOUBLE PRECISION,
	FEMALE_ILLITERATE_POPULATION DOUBLE PRECISION,
	FOREIGN KEY (HIERARCHY_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (HIERARCHY_ID)
);"
FACT_WORKFORCE_STATUS,,"DROP TABLE IF EXISTS FACT_WORKFORCE_STATUS CASCADE;
CREATE TABLE FACT_WORKFORCE_STATUS (
	WORKFORCE_STATUS_ID BIGINT PRIMARY KEY,
	HIERARCHY_ID BIGINT,
	CENSUS_YEAR INTEGER,
	MALE_WORKING_POPULATION DOUBLE PRECISION,
	FEMALE_WORKING_POPULATION DOUBLE PRECISION,
	FOREIGN KEY (HIERARCHY_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (HIERARCHY_ID)
);"
FACT_WORKFORCE_DETAIL,,"DROP TABLE IF EXISTS FACT_WORKFORCE_DETAIL CASCADE;
CREATE TABLE FACT_WORKFORCE_DETAIL (
	WORKFORCE_DETAIL_ID BIGINT PRIMARY KEY,
	HIERARCHY_ID BIGINT,
	CENSUS_YEAR INTEGER,
	MALE_MARGINAL_WORKERS DOUBLE PRECISION,
	FEMALE_MARGINAL_WORKERS DOUBLE PRECISION,
	MALE_NON_WORKERS DOUBLE PRECISION,
	FEMALE_NON_WORKERS DOUBLE PRECISION,
	FOREIGN KEY (HIERARCHY_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (HIERARCHY_ID)
);"
FACT_WORKERS_PRIMARY_SECTOR,,"DROP TABLE IF EXISTS FACT_WORKERS_PRIMARY_SECTOR CASCADE;
CREATE TABLE FACT_WORKERS_PRIMARY_SECTOR (
	WORKERS_PRIMARY_ID BIGINT PRIMARY KEY,
	HIERARCHY_ID BIGINT,
	CENSUS_YEAR INTEGER,
	MALE_MAIN_WORKERS_CULTIVATORS DOUBLE PRECISION,
	FEMALE_MAIN_WORKERS_CULTIVATORS DOUBLE PRECISION,
	MALE_MAIN_WORKERS_AGRICULTURAL_LABOURERS DOUBLE PRECISION,
	FEMALE_MAIN_WORKERS_AGRICULTURAL_LABOURERS DOUBLE PRECISION,
	MALE_MAIN_WORKERS_LIVESTOCK_FORESTRY_FISHING DOUBLE PRECISION,
	FEMALE_MAIN_WORKERS_LIVESTOCK_FORESTRY_FISHING DOUBLE PRECISION,
	MALE_MAIN_WORKERS_MINING_QUARRYING DOUBLE PRECISION,
	FEMALE_MAIN_WORKERS_MINING_QUARRYING DOUBLE PRECISION,
	FOREIGN KEY (HIERARCHY_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (HIERARCHY_ID)
);"
FACT_WORKERS_SECONDARY_SECTOR,,"DROP TABLE IF EXISTS FACT_WORKERS_SECONDARY_SECTOR CASCADE;
CREATE TABLE FACT_WORKERS_SECONDARY_SECTOR (
	WORKERS_SECONDARY_ID BIGINT PRIMARY KEY,
	HIERARCHY_ID BIGINT,
	CENSUS_YEAR INTEGER,
	MALE_MAIN_WORKERS_MANUFACTURING_HOUSEHOLD DOUBLE PRECISION,
	FEMALE_MAIN_WORKERS_MANUFACTURING_HOUSEHOLD DOUBLE PRECISION,
	MALE_MAIN_WORKERS_MANUFACTURING_OTHER DOUBLE PRECISION,
	FEMALE_MAIN_WORKERS_MANUFACTURING_OTHER DOUBLE PRECISION,
	MALE_CONSTRUCTION_WORKERS DOUBLE PRECISION,
	FEMALE_CONSTRUCTION_WORKERS DOUBLE PRECISION,
	FOREIGN KEY (HIERARCHY_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (HIERARCHY_ID)
);"
FACT_WORKERS_TERTIARY_SECTOR,,"DROP TABLE IF EXISTS FACT_WORKERS_TERTIARY_SECTOR CASCADE;
CREATE TABLE FACT_WORKERS_TERTIARY_SECTOR (
	WORKERS_TERTIARY_ID BIGINT PRIMARY KEY,
	HIERARCHY_ID BIGINT,
	CENSUS_YEAR INTEGER,
	MALE_WORKERS_TRADE_COMMERCE DOUBLE PRECISION,
	FEMALE_WORKERS_TRADE_COMMERCE DOUBLE PRECISION,
	MALE_WORKERS_TRANSPORT_STORAGE_COMMUNICATION DOUBLE PRECISION,
	FEMALE_WORKERS_TRANSPORT_STORAGE_COMMUNICATION DOUBLE PRECISION,
	MALE_WORKERS_OTHER_SERVICES DOUBLE PRECISION,
	FEMALE_WORKERS_OTHER_SERVICES DOUBLE PRECISION,
	FOREIGN KEY (HIERARCHY_ID) REFERENCES DIM_GEOGRAPHY_HIERARCHY (HIERARCHY_ID)
);"
